district,mandal,season,crop,records,total_normal_area,total_actual_area,average_normal_area,average_actual_area,cultivation_share
Adilabad,Gudihathnoor,Kharif,Soybean,2,2637.0,2101.0,1318.5,1050.5,0.03826818695129503
Adilabad,Gudihathnoor,Kharif,Red Gram,1,626.0,1880.0,626.0,1880.0,0.03424283268369094
Adilabad,Gudihathnoor,Kharif,Red gram,2,1259.0,1736.0,629.5,868.0,0.03161997741430185
Adilabad,Gudihathnoor,Kharif,Other Food Crops,3,2236.0,1579.0,745.3333333333334,526.3333333333334,0.028760336599759573
Adilabad,Gudihathnoor,Kharif,Black Gram,1,56.0,572.0,56.0,572.0,0.01041856398674001
Adilabad,Gudihathnoor,Kharif,Green Gram,1,52.0,175.0,52.0,175.0,0.003187497723215912
Adilabad,Gudihathnoor,Kharif,Black gram,2,137.0,132.0,68.5,66.0,0.002404283996940002
Adilabad,Gudihathnoor,Kharif,Green gram,2,112.0,89.0,56.0,44.5,0.0016210702706640923
Adilabad,Gudihathnoor,Kharif,Chillies,3,9.0,39.0,3.0,13.0,0.0007103566354595461
Adilabad,Gudihathnoor,Kharif,Jowar,3,1883.0,29.0,627.6666666666666,9.666666666666666,0.0005282139084186369
Adilabad,Gudihathnoor,Kharif,Maize,3,70.0,24.0,23.333333333333332,8.0,0.0004371425448981822
Adilabad,Gudihathnoor,Kharif,Seasumum,2,19.0,6.0,9.5,3.0,0.00010928563622454555
Adilabad,Gudihathnoor,Kharif,Paddy Irrigated,2,39.0,5.0,19.5,2.5,9.107136352045463e-05
Adilabad,Gudihathnoor,Kharif,Turmeric,3,2.0,5.0,0.6666666666666666,1.6666666666666667,9.107136352045463e-05
Adilabad,Gudihathnoor,Kharif,Other Non-Food Crops,3,2.0,3.0,0.6666666666666666,1.0,5.4642818112272774e-05
Adilabad,Gudihathnoor,Kharif,Castor,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Cow Gram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Cow gram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Groundnut,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Horsegram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Mesta,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Onion,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Onions,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Other Oil Seeds,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Other Pulses,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Paddy Rainfed,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Potato,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Rice,1,33.0,0.0,33.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Sesamum,1,14.0,0.0,14.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Sugarcane,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Sunflower,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Tabacco,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Kharif,Tobacco,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Gross areas,3,2611.0,1838.2,870.3333333333334,612.7333333333333,0.4876638191754656
Adilabad,Gudihathnoor,Rabi,Bengalgram,1,547.0,636.0,547.0,636.0,0.16872711837427706
Adilabad,Gudihathnoor,Rabi,Bengal gram,2,976.0,495.0,488.0,247.5,0.13132063458375337
Adilabad,Gudihathnoor,Rabi,Jowar,3,332.0,308.8,110.66666666666667,102.93333333333334,0.08192285244335969
Adilabad,Gudihathnoor,Rabi,Wheat,3,408.0,289.0,136.0,96.33333333333333,0.07667002706000955
Adilabad,Gudihathnoor,Rabi,Maize,3,216.0,130.4,72.0,43.46666666666667,0.034594365150952405
Adilabad,Gudihathnoor,Rabi,Groundnut,2,62.0,69.0,31.0,34.5,0.018305300578341382
Adilabad,Gudihathnoor,Rabi,Chillies,3,11.0,3.0,3.6666666666666665,1.0,0.0007958826338409295
Adilabad,Gudihathnoor,Rabi,Black gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Castor,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Coriander,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Cotton,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Cow gram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Green gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Ground nut,1,25.0,0.0,25.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Horsegram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Mesta,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Onion,2,1.0,0.0,0.5,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Onions,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Other Food Crops,2,16.0,0.0,8.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Other Non Food Crops,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Gudihathnoor,Rabi,Other Non-Food Crops,2,0.0,0.0,0.0,0.0,0.0
